dataset,subject,trial,speed_a_mps,speed_b_mps,k_a,k_b,n_strides_a,n_strides_b,fidelity_a_to_b,notes
vanhooren,Sub_01,0.0,5,4,3,2,69,69,0.969021663,
vanhooren,Sub_01,0.0,5,3.33,3,2,69,69,0.95155585,
vanhooren,Sub_01,0.0,5,3,3,3,69,69,0.94525876,
vanhooren,Sub_01,0.0,5,2.78,3,3,69,69,0.910032114,
vanhooren,Sub_01,0.0,4,5,2,3,69,69,0.908008489,
vanhooren,Sub_01,0.0,4,3.33,2,2,69,69,0.904890906,
vanhooren,Sub_01,0.0,4,3,2,3,69,69,0.89272491,
vanhooren,Sub_01,0.0,4,2.78,2,3,69,69,0.843146549,
vanhooren,Sub_01,0.0,3.33,5,2,3,69,69,0.90691637,
vanhooren,Sub_01,0.0,3.33,4,2,2,69,69,0.924069618,
vanhooren,Sub_01,0.0,3.33,3,2,3,69,69,0.893210108,
vanhooren,Sub_01,0.0,3.33,2.78,2,3,69,69,0.855233078,
vanhooren,Sub_01,0.0,3,5,3,3,69,69,0.955693968,
vanhooren,Sub_01,0.0,3,4,3,2,69,69,0.966182533,
vanhooren,Sub_01,0.0,3,3.33,3,2,69,69,0.960130153,
vanhooren,Sub_01,0.0,3,2.78,3,3,69,69,0.931361532,
vanhooren,Sub_01,0.0,2.78,5,3,3,69,69,0.931699626,
vanhooren,Sub_01,0.0,2.78,4,3,2,69,69,0.937662312,
vanhooren,Sub_01,0.0,2.78,3.33,3,2,69,69,0.943331406,
vanhooren,Sub_01,0.0,2.78,3,3,3,69,69,0.935507873,
vanhooren,Sub_02,0.0,5,4,3,5,80,80,0.910434995,
vanhooren,Sub_02,0.0,5,3.33,3,4,80,80,0.810943685,
vanhooren,Sub_02,0.0,5,3,3,3,80,80,0.870521256,
vanhooren,Sub_02,0.0,5,2.78,3,3,80,80,0.882021787,
vanhooren,Sub_02,0.0,4,5,5,3,80,80,0.971439854,
vanhooren,Sub_02,0.0,4,3.33,5,4,80,80,0.949426769,
vanhooren,Sub_02,0.0,4,3,5,3,80,80,0.962662104,
vanhooren,Sub_02,0.0,4,2.78,5,3,80,80,0.971930731,
vanhooren,Sub_02,0.0,3.33,5,4,3,80,80,0.908781851,
vanhooren,Sub_02,0.0,3.33,4,4,5,80,80,0.940212007,
vanhooren,Sub_02,0.0,3.33,3,4,3,80,80,0.967523046,
vanhooren,Sub_02,0.0,3.33,2.78,4,3,80,80,0.941082815,
vanhooren,Sub_02,0.0,3,5,3,3,80,80,0.873584687,
vanhooren,Sub_02,0.0,3,4,3,5,80,80,0.901963867,
vanhooren,Sub_02,0.0,3,3.33,3,4,80,80,0.928473933,
vanhooren,Sub_02,0.0,3,2.78,3,3,80,80,0.916715901,
vanhooren,Sub_02,0.0,2.78,5,3,3,80,80,0.904928147,
vanhooren,Sub_02,0.0,2.78,4,3,5,80,80,0.923957626,
vanhooren,Sub_02,0.0,2.78,3.33,3,4,80,80,0.881016174,
vanhooren,Sub_02,0.0,2.78,3,3,3,80,80,0.935744669,
vanhooren,Sub_03,0.0,5,4,4,4,67,67,0.972724282,
vanhooren,Sub_03,0.0,5,3.33,4,3,67,67,0.863190043,
vanhooren,Sub_03,0.0,5,3,4,3,67,67,0.957820372,
vanhooren,Sub_03,0.0,5,2.78,4,4,67,67,0.963348105,
vanhooren,Sub_03,0.0,4,5,4,4,67,67,0.971980801,
vanhooren,Sub_03,0.0,4,3.33,4,3,67,67,0.898492589,
vanhooren,Sub_03,0.0,4,3,4,3,67,67,0.970877667,
vanhooren,Sub_03,0.0,4,2.78,4,4,67,67,0.966896389,
vanhooren,Sub_03,0.0,3.33,5,3,4,67,67,0.851922369,
vanhooren,Sub_03,0.0,3.33,4,3,4,67,67,0.885946928,
vanhooren,Sub_03,0.0,3.33,3,3,3,67,67,0.870988006,
vanhooren,Sub_03,0.0,3.33,2.78,3,4,67,67,0.846967128,
vanhooren,Sub_03,0.0,3,5,3,4,67,67,0.929075709,
vanhooren,Sub_03,0.0,3,4,3,4,67,67,0.951637974,
vanhooren,Sub_03,0.0,3,3.33,3,3,67,67,0.870111243,
vanhooren,Sub_03,0.0,3,2.78,3,4,67,67,0.95266509,
vanhooren,Sub_03,0.0,2.78,5,4,4,67,67,0.951312577,
vanhooren,Sub_03,0.0,2.78,4,4,4,67,67,0.961562015,
vanhooren,Sub_03,0.0,2.78,3.33,4,3,67,67,0.855518482,
vanhooren,Sub_03,0.0,2.78,3,4,3,67,67,0.966633525,
vanhooren,Sub_04,0.0,5,4,3,4,79,79,0.92498317,
vanhooren,Sub_04,0.0,5,3.33,3,5,79,79,0.911620597,
vanhooren,Sub_04,0.0,5,3,3,4,79,79,0.880480309,
vanhooren,Sub_04,0.0,5,2.78,3,3,79,79,0.882519344,
vanhooren,Sub_04,0.0,4,5,4,3,79,79,0.958620555,
vanhooren,Sub_04,0.0,4,3.33,4,5,79,79,0.97039533,
vanhooren,Sub_04,0.0,4,3,4,4,79,79,0.914502387,
vanhooren,Sub_04,0.0,4,2.78,4,3,79,79,0.939587809,
vanhooren,Sub_04,0.0,3.33,5,5,3,79,79,0.946888035,
vanhooren,Sub_04,0.0,3.33,4,5,4,79,79,0.966740578,
vanhooren,Sub_04,0.0,3.33,3,5,4,79,79,0.952813481,
vanhooren,Sub_04,0.0,3.33,2.78,5,3,79,79,0.970202808,
vanhooren,Sub_04,0.0,3,5,4,3,79,79,0.952330251,
vanhooren,Sub_04,0.0,3,4,4,4,79,79,0.971600695,
vanhooren,Sub_04,0.0,3,3.33,4,5,79,79,0.98209858,
vanhooren,Sub_04,0.0,3,2.78,4,3,79,79,0.988463515,
vanhooren,Sub_04,0.0,2.78,5,3,3,79,79,0.914565537,
vanhooren,Sub_04,0.0,2.78,4,3,4,79,79,0.920666858,
vanhooren,Sub_04,0.0,2.78,3.33,3,5,79,79,0.931557226,
vanhooren,Sub_04,0.0,2.78,3,3,4,79,79,0.93667251,
vanhooren,Sub_05,0.0,5,4,3,3,60,60,0.928815928,
vanhooren,Sub_05,0.0,5,3.33,3,5,60,60,0.892656717,
vanhooren,Sub_05,0.0,5,3,3,3,60,60,0.884032068,
vanhooren,Sub_05,0.0,5,2.78,3,5,60,60,0.864899584,
vanhooren,Sub_05,0.0,4,5,3,3,60,60,0.936626857,
vanhooren,Sub_05,0.0,4,3.33,3,5,60,60,0.911366235,
vanhooren,Sub_05,0.0,4,3,3,3,60,60,0.893919486,
vanhooren,Sub_05,0.0,4,2.78,3,5,60,60,0.891209228,
vanhooren,Sub_05,0.0,3.33,5,5,3,60,60,0.96171448,
vanhooren,Sub_05,0.0,3.33,4,5,3,60,60,0.964628033,
vanhooren,Sub_05,0.0,3.33,3,5,3,60,60,0.949404374,
vanhooren,Sub_05,0.0,3.33,2.78,5,5,60,60,0.972606724,
vanhooren,Sub_05,0.0,3,5,3,3,60,60,0.899360008,
vanhooren,Sub_05,0.0,3,4,3,3,60,60,0.906160007,
vanhooren,Sub_05,0.0,3,3.33,3,5,60,60,0.880764178,
vanhooren,Sub_05,0.0,3,2.78,3,5,60,60,0.877919627,
vanhooren,Sub_05,0.0,2.78,5,5,3,60,60,0.919616558,
vanhooren,Sub_05,0.0,2.78,4,5,3,60,60,0.945669613,
vanhooren,Sub_05,0.0,2.78,3.33,5,5,60,60,0.966418198,
vanhooren,Sub_05,0.0,2.78,3,5,3,60,60,0.946039641,
vanhooren,Sub_06,0.0,5,4,3,3,77,77,0.933248406,
vanhooren,Sub_06,0.0,5,3.33,3,3,77,77,0.913283581,
vanhooren,Sub_06,0.0,5,3,3,4,77,77,0.92042504,
vanhooren,Sub_06,0.0,5,2.78,3,2,77,77,0.91966794,
vanhooren,Sub_06,0.0,4,5,3,3,77,77,0.918923088,
vanhooren,Sub_06,0.0,4,3.33,3,3,77,77,0.938735878,
vanhooren,Sub_06,0.0,4,3,3,4,77,77,0.938101767,
vanhooren,Sub_06,0.0,4,2.78,3,2,77,77,0.93532323,
vanhooren,Sub_06,0.0,3.33,5,3,3,77,77,0.877654868,
vanhooren,Sub_06,0.0,3.33,4,3,3,77,77,0.91692626,
vanhooren,Sub_06,0.0,3.33,3,3,4,77,77,0.930973093,
vanhooren,Sub_06,0.0,3.33,2.78,3,2,77,77,0.925015388,
vanhooren,Sub_06,0.0,3,5,4,3,77,77,0.964451393,
vanhooren,Sub_06,0.0,3,4,4,3,77,77,0.964493548,
vanhooren,Sub_06,0.0,3,3.33,4,3,77,77,0.967468414,
