dataset,subject,trial,max_reorg_transition,max_reorg_speed_fast,max_reorg_speed_slow,max_drop_beyond,cross_fidelity_avg_at_max,within_q10_threshold_at_max,drop_mean_at_max
vanhooren,Sub_01,0.0,3.0->2.78,3.0,2.78,0.019051695925046852,0.9334347025,0.9524863984250469,0.019681790002334942
vanhooren,Sub_02,0.0,4.0->3.33,4.0,3.33,0.030211491433596027,0.944819388,0.975030879433596,0.030926197369941844
vanhooren,Sub_03,0.0,3.33->3.0,3.33,3.0,0.0961915223341192,0.8705496245,0.9667411468341192,0.09700981573068634
vanhooren,Sub_04,0.0,5.0->4.0,5.0,4.0,0.01595723719594666,0.9418018625,0.9577590996959466,0.01652836499853183
vanhooren,Sub_05,0.0,3.0->2.78,3.0,2.78,0.037422905427777375,0.911979634,0.9494025394277774,0.03841263899593683
vanhooren,Sub_06,0.0,4.0->3.33,4.0,3.33,0.021990026625706927,0.927831069,0.9498210956257069,0.022367927138972954
vanhooren,Sub_08,0.0,5.0->4.0,5.0,4.0,0.01885012898580163,0.925432095,0.9442822239858016,0.019372539527086508
vanhooren,Sub_09,0.0,5.0->4.0,5.0,4.0,0.014369788952472762,0.9734680105,0.9878377994524727,0.01485513342884881
vanhooren,Sub_10,0.0,3.33->3.0,3.33,3.0,0.04902327115925198,0.9047429810000001,0.953766252159252,0.04951164993084367
vanhooren,Sub_11,0.0,5.0->4.0,5.0,4.0,0.005639062605365508,0.977418755,0.9830578176053655,0.006168927758458453
vanhooren,Sub_13,0.0,3.0->2.78,3.0,2.78,0.08701530391447077,0.8805523575,0.9675676614144708,0.08730649493069498
vanhooren,Sub_14,0.0,3.33->3.0,3.33,3.0,0.13069720930503814,0.8063286510000001,0.9370258603050382,0.1318589987321389
vanhooren,Sub_15,0.0,3.33->3.0,3.33,3.0,0.02953643801284067,0.9565087895,0.9860452275128406,0.029701230532498957
vanhooren,Sub_16,0.0,3.33->3.0,3.33,3.0,0.05499389916323827,0.8744327755,0.9294266746632383,0.05582942309568628
vanhooren,Sub_17,0.0,4.0->3.33,4.0,3.33,0.025797115173477603,0.906429581,0.9322266961734776,0.026905420121165258
vanhooren,Sub_18,0.0,4.0->3.33,4.0,3.33,0.022107446041689238,0.9250461715,0.9471536175416893,0.02281772687840755
vanhooren,Sub_19,0.0,3.33->3.0,3.33,3.0,0.07760442126511224,0.877378472,0.9549828932651122,0.07835340440782268
