dataset,subject,trial,transition,speed_fast_mps,speed_slow_mps,pace_fast_min_per_km,pace_slow_min_per_km,within_fidelity_fast,within_fidelity_slow,within_fidelity_avg,within_q10_fast,within_q10_slow,within_q10_threshold,cross_fidelity_fast_to_slow,cross_fidelity_slow_to_fast,cross_fidelity_avg,drop,drop_beyond,pass_within_q10
vanhooren,Sub_01,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9632856095179372,0.9328740143634294,0.9480798119406832,0.9626839509502552,0.9323955889469708,0.947539769948613,0.969021663,0.908008489,0.9385150760000001,0.009564735940683189,0.009024693948612938,False
vanhooren,Sub_01,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9328740143634294,0.9130086448089868,0.9229413295862081,0.9323955889469708,0.9120159046647568,0.9222057468058638,0.904890906,0.924069618,0.914480262,0.008461067586208126,0.007725484805863769,False
vanhooren,Sub_01,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9130086448089868,0.9563258433492048,0.9346672440790957,0.9120159046647568,0.9557083270119086,0.9338621158383327,0.893210108,0.960130153,0.9266701305,0.007997113579095716,0.0071919853383326515,False
vanhooren,Sub_01,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9563258433492048,0.9499071416554652,0.953116492502335,0.9557083270119086,0.9492644698381852,0.9524863984250469,0.931361532,0.935507873,0.9334347025,0.019681790002334942,0.019051695925046852,False
vanhooren,Sub_02,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9364681428270122,0.980734030117542,0.9586010864722772,0.9358424798787998,0.9802061820968252,0.9580243309878125,0.910434995,0.971439854,0.9409374245,0.0176636619722772,0.017086906487812525,False
vanhooren,Sub_02,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.980734030117542,0.9707571406223416,0.9757455853699418,0.9802061820968252,0.9698555767703668,0.975030879433596,0.949426769,0.940212007,0.944819388,0.030926197369941844,0.030211491433596027,False
vanhooren,Sub_02,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9707571406223416,0.9615061060223666,0.9661316233223541,0.9698555767703668,0.961203133321766,0.9655293550460664,0.967523046,0.928473933,0.9479984895,0.018133133822354153,0.01753086554606642,False
vanhooren,Sub_02,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9615061060223666,0.9428489215543632,0.9521775137883649,0.961203133321766,0.942407766639006,0.9518054499803861,0.916715901,0.935744669,0.9262302849999999,0.025947228788364973,0.025575164980386145,False
vanhooren,Sub_03,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9812254032637096,0.981144799707551,0.9811851014856303,0.9808038099891944,0.980612672979998,0.9807082414845962,0.972724282,0.971980801,0.9723525415000001,0.008832559985630262,0.008355699984596177,False
vanhooren,Sub_03,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.981144799707551,0.9621716397630274,0.9716582197352892,0.980612672979998,0.9610637770965412,0.9708382250382697,0.898492589,0.885946928,0.8922197585,0.07943846123528919,0.07861846653826965,False
vanhooren,Sub_03,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9621716397630274,0.9729472406983452,0.9675594402306863,0.9610637770965412,0.9724185165716972,0.9667411468341192,0.870988006,0.870111243,0.8705496245,0.09700981573068634,0.0961915223341192,False
vanhooren,Sub_03,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9729472406983452,0.983761,0.9783541203491726,0.9724185165716972,0.983312,0.9778652582858486,0.95266509,0.966633525,0.9596493075,0.01870481284917258,0.01821595078584859,False
vanhooren,Sub_04,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9406811686474964,0.9759792863495672,0.9583302274985318,0.940075563719033,0.9754426356728604,0.9577590996959466,0.92498317,0.958620555,0.9418018625,0.01652836499853183,0.01595723719594666,False
vanhooren,Sub_04,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9759792863495672,0.9882596534780276,0.9821194699137974,0.9754426356728604,0.9880148959144788,0.9817287657936695,0.97039533,0.966740578,0.9685679540000001,0.01355151591379733,0.013160811793669458,False
vanhooren,Sub_04,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9882596534780276,0.9759308984243676,0.9820952759511976,0.9880148959144788,0.9752732263384007,0.9816440611264398,0.952813481,0.98209858,0.9674560305,0.014639245451197658,0.014188030626439807,False
vanhooren,Sub_04,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9759308984243676,0.9508874281275712,0.9634091632759694,0.9752732263384007,0.9505133426737176,0.9628932845060592,0.988463515,0.93667251,0.9625680125,0.0008411507759693571,0.00032527200605914075,False
vanhooren,Sub_05,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9431580009929684,0.9347321837761932,0.9389450923845808,0.9420358928441204,0.9338945236037264,0.9379652082239234,0.928815928,0.936626857,0.9327213925,0.0062236998845808245,0.005243815723923406,False
vanhooren,Sub_05,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9347321837761932,0.978165567705981,0.9564488757410871,0.9338945236037264,0.977764488271162,0.9558295059374442,0.911366235,0.964628033,0.937997134,0.018451741741087102,0.017832371937444247,False
vanhooren,Sub_05,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.978165567705981,0.9218311766997912,0.9499983722028861,0.977764488271162,0.9209203981814368,0.9493424432262993,0.949404374,0.880764178,0.915084276,0.0349140962028861,0.034258167226299374,False
vanhooren,Sub_05,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9218311766997912,0.9789533692920824,0.9503922729959369,0.9209203981814368,0.977884680674118,0.9494025394277774,0.877919627,0.946039641,0.911979634,0.03841263899593683,0.037422905427777375,False
vanhooren,Sub_06,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9259917575369552,0.9413998500014976,0.9336958037692265,0.9252030999612644,0.9411224387653776,0.933162769363321,0.933248406,0.918923088,0.926085747,0.0076100567692264365,0.007077022363320973,False
vanhooren,Sub_06,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9413998500014976,0.9589981422764484,0.950198996138973,0.9411224387653776,0.9585197524860362,0.9498210956257069,0.938735878,0.91692626,0.927831069,0.022367927138972954,0.021990026625706927,False
vanhooren,Sub_06,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9589981422764484,0.9805301376653917,0.96976413997092,0.9585197524860362,0.9798614368447024,0.9691905946653693,0.930973093,0.967468414,0.9492207535,0.020543386470920022,0.019969841165369262,False
vanhooren,Sub_06,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9805301376653917,0.9210327883078876,0.9507814629866396,0.9798614368447024,0.9204797919883794,0.9501706144165409,0.979071445,0.91522485,0.9471481475,0.003633315486639588,0.0030224669165409557,False
vanhooren,Sub_08,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.923504370556814,0.966104898497359,0.9448046345270865,0.9229159922312404,0.9656484557403628,0.9442822239858016,0.910881055,0.939983135,0.925432095,0.019372539527086508,0.01885012898580163,False
vanhooren,Sub_08,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.966104898497359,0.925646746219593,0.945875822358476,0.9656484557403628,0.9252673287838435,0.9454578922621032,0.957931822,0.918986619,0.9384592205,0.007416601858476035,0.006998671762103226,False
vanhooren,Sub_08,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.925646746219593,0.9186651067833986,0.9221559265014958,0.9252673287838435,0.9183549095179356,0.9218111191508895,0.911383205,0.919107309,0.915245257,0.00691066950149577,0.006565862150889501,False
vanhooren,Sub_08,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9186651067833986,0.9301937470223366,0.9244294269028677,0.9183549095179356,0.9298507567021218,0.9241028331100287,0.915400175,0.903077091,0.909238633,0.015190793902867705,0.014864200110028758,False
vanhooren,Sub_09,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9888728687240952,0.9877734191336024,0.9883231439288488,0.9883899908789128,0.9872856080260328,0.9878377994524727,0.959804285,0.987131736,0.9734680105,0.01485513342884881,0.014369788952472762,False
vanhooren,Sub_09,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9877734191336024,0.9729959192816447,0.9803846692076236,0.9872856080260328,0.9724337788897144,0.9798596934578736,0.979746466,0.979612247,0.9796793565,0.0007053127076235288,0.0001803369578735614,False
vanhooren,Sub_09,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9729959192816447,0.9562940211535698,0.9646449702176072,0.9724337788897144,0.9558707779034809,0.9641522783965977,0.991323641,0.941351906,0.9663377735,-0.0016928032823928518,0.0,True
vanhooren,Sub_09,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9562940211535698,0.9524818210807796,0.9543879211171746,0.9558707779034809,0.9519213173913476,0.9538960476474142,0.951168398,0.954771359,0.9529698785,0.0014180426171745975,0.0009261691474141687,False
vanhooren,Sub_10,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.919654180113361,0.9394955683090248,0.9295748742111929,0.9189688741597996,0.9388113101488924,0.9288900921543459,0.909513912,0.895324595,0.9024192535,0.02715562071119293,0.026470838654345963,False
vanhooren,Sub_10,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9394955683090248,0.9585052741585076,0.9490004212337662,0.9388113101488924,0.9579468184914238,0.9483790643201582,0.911912973,0.898548134,0.9052305535,0.04376986773376612,0.04314851082015814,False
vanhooren,Sub_10,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9585052741585076,0.95000398770318,0.9542546309308437,0.9579468184914238,0.9495856858270804,0.953766252159252,0.900487971,0.908997991,0.9047429810000001,0.04951164993084367,0.04902327115925198,False
vanhooren,Sub_10,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.95000398770318,0.9533701822123468,0.9516870849577634,0.9495856858270804,0.952830519835188,0.9512081028311341,0.925524651,0.925302733,0.925413692,0.02627339295776343,0.025794410831134096,False
vanhooren,Sub_11,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9880811465847176,0.9790942189321992,0.9835876827584584,0.9875160447774394,0.9785995904332916,0.9830578176053655,0.972336725,0.982500785,0.977418755,0.006168927758458453,0.005639062605365508,False
vanhooren,Sub_11,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9790942189321992,0.9849392265691548,0.982016722750677,0.9785995904332916,0.9844241582403018,0.9815118743367968,0.984428944,0.978336056,0.9813825,0.0006342227506769271,0.00012937433679671706,False
vanhooren,Sub_11,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9849392265691548,0.984949340341564,0.9849442834553594,0.9844241582403018,0.9843946026503292,0.9844093804453156,0.980368331,0.979999223,0.9801837769999999,0.0047605064553595255,0.00422560344531564,False
vanhooren,Sub_11,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.984949340341564,0.9884591593807466,0.9867042498611553,0.9843946026503292,0.9881555861689494,0.9862750944096392,0.987767586,0.984558324,0.986162955,0.0005412948611553947,0.00011213940963927804,False
vanhooren,Sub_13,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9714743729773696,0.9512509229289792,0.9613626479531744,0.9709306869331998,0.9508441233521862,0.960887405142693,0.96495684,0.933159586,0.949058213,0.012304434953174348,0.011829192142692957,False
vanhooren,Sub_13,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9512509229289792,0.9747836012868814,0.9630172621079303,0.9508441233521862,0.9744736475106308,0.9626588854314084,0.928596443,0.953539568,0.9410680055,0.021949256607930234,0.021590879931408402,False
vanhooren,Sub_13,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9747836012868814,0.9782837153898872,0.9765336583383843,0.9744736475106308,0.9780023292942795,0.9762379884024552,0.849369853,0.936811711,0.893090782,0.08344287633838432,0.08314720640245521,False
vanhooren,Sub_13,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9782837153898872,0.9574339894715028,0.967858852430695,0.9780023292942795,0.957132993534662,0.9675676614144708,0.949607293,0.811497422,0.8805523575,0.08730649493069498,0.08701530391447077,False
vanhooren,Sub_14,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9263482826710564,0.931143634791026,0.9287459587310412,0.923470085500321,0.9300149113528235,0.9267424984265722,0.90697516,0.909511372,0.9082432659999999,0.020502692731041217,0.018499232426572254,False
vanhooren,Sub_14,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.931143634791026,0.9365842821800752,0.9338639584855506,0.9300149113528235,0.9354116501745554,0.9327132807636895,0.927383611,0.923066618,0.9252251145,0.008638843985550593,0.007488166263689533,False
vanhooren,Sub_14,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9365842821800752,0.9397910172842028,0.938187649732139,0.9354116501745554,0.938640070435521,0.9370258603050382,0.786998182,0.82565912,0.8063286510000001,0.1318589987321389,0.13069720930503814,False
vanhooren,Sub_14,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9397910172842028,0.9182671845240116,0.9290291009041072,0.938640070435521,0.9168479523072176,0.9277440113713693,0.912651135,0.931980824,0.9223159795,0.006713121404107181,0.00542803187136931,False
vanhooren,Sub_15,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9314070160151126,0.9841497628651088,0.9577783894401106,0.9311198666491616,0.983932145833086,0.9575260062411237,0.915037274,0.975941053,0.9454891635,0.012289225940110615,0.01203684274112371,False
vanhooren,Sub_15,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9841497628651088,0.9853911077874308,0.9847704353262698,0.983932145833086,0.985176744382936,0.984554445108011,0.97545753,0.976851401,0.9761544655000001,0.008615969826269776,0.008399979608010977,False
vanhooren,Sub_15,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9853911077874308,0.987028932277567,0.9862100200324989,0.985176744382936,0.9869137106427454,0.9860452275128406,0.957857345,0.955160234,0.9565087895,0.029701230532498957,0.02953643801284067,False
vanhooren,Sub_15,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.987028932277567,0.9849437467672972,0.9859863395224322,0.9869137106427454,0.9847831178031023,0.9858484142229238,0.976600376,0.978683822,0.9776420990000001,0.0083442405224321,0.008206315222923699,False
vanhooren,Sub_16,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9267760766383968,0.9063861225586471,0.916581099598522,0.9248945136748048,0.9056482792975314,0.9152713964861681,0.927030374,0.887253197,0.9071417855,0.009439314098521945,0.008129610986168045,False
vanhooren,Sub_16,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9063861225586471,0.9169009937621522,0.9116435581603997,0.9056482792975314,0.9160548393081622,0.9108515593028468,0.896200293,0.88608267,0.8911414815,0.020502076660399604,0.019710077802846726,False
vanhooren,Sub_16,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9169009937621522,0.9436234034292202,0.9302621985956863,0.9160548393081622,0.9427985100183144,0.9294266746632383,0.844933097,0.903932454,0.8744327755,0.05582942309568628,0.05499389916323827,False
vanhooren,Sub_16,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9436234034292202,0.9421827591132984,0.9429030812712593,0.9427985100183144,0.9412015881390936,0.9420000490787039,0.920723246,0.922911329,0.9218172874999999,0.02108579377125941,0.020182761578704023,False
vanhooren,Sub_17,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.919027172645242,0.9301510587279436,0.9245891156865929,0.9176220383447168,0.9287482632362088,0.9231851507904628,0.921556707,0.908935755,0.915246231,0.009342884686592834,0.007938919790462795,False
vanhooren,Sub_17,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9301510587279436,0.936518943514387,0.9333350011211653,0.9287482632362088,0.9357051291107464,0.9322266961734776,0.901214602,0.91164456,0.906429581,0.026905420121165258,0.025797115173477603,False
vanhooren,Sub_17,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.936518943514387,0.9696212739893189,0.9530701087518529,0.9357051291107464,0.968817891651564,0.9522615103811551,0.918666153,0.96819934,0.9434327465,0.009637362251852966,0.008828763881155166,False
vanhooren,Sub_17,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9696212739893189,0.963632778181863,0.9666270260855909,0.968817891651564,0.9626039254279616,0.9657109085397628,0.961006862,0.965586179,0.9632965204999999,0.0033305055855910037,0.0024143880397629047,False
vanhooren,Sub_18,0.0,5.0->4.0,5.0,4.0,3:20,4:10,0.9294774041625236,0.9677851483733952,0.9486312762679594,0.9287461853955064,0.967292970768574,0.9480195780820402,0.917472969,0.958642732,0.9380578505,0.010573425767959388,0.00996172758204017,False
vanhooren,Sub_18,0.0,4.0->3.33,4.0,3.33,4:10,5:00,0.9677851483733952,0.9279426483834198,0.9478638983784076,0.967292970768574,0.9270142643148046,0.9471536175416893,0.953792683,0.89629966,0.9250461715,0.02281772687840755,0.022107446041689238,False
vanhooren,Sub_18,0.0,3.33->3.0,3.33,3.0,5:00,5:33,0.9279426483834198,0.9730878215381444,0.9505152349607822,0.9270142643148046,0.9725864688414316,0.9498003665781181,0.917852941,0.962259916,0.9400564285,0.010458806460782122,0.00974393807811802,False
vanhooren,Sub_18,0.0,3.0->2.78,3.0,2.78,5:33,6:00,0.9730878215381444,0.9736862067841306,0.9733870141611376,0.9725864688414316,0.973211736688578,0.9728991027650048,0.970905127,0.970363576,0.9706343515,0.002752662661137606,0.002264751265004805,False
